Date,Open,High,Low,Close,Adj Close,Volume
2017-10-01,25.649000,26.497000,25.474001,26.459000,25.004784,6808000
2017-11-01,26.614000,27.270000,26.205000,27.073000,25.585037,6474000
2017-12-01,27.018000,27.489000,26.421000,27.112000,25.621895,6383000
2018-01-01,27.283001,29.451000,27.183001,29.100000,27.579191,10046000
2018-02-01,28.900000,29.188000,26.003000,28.559000,27.066467,15290000
2018-03-01,28.502001,29.975000,27.072001,27.687000,26.240038,9845000
2018-04-01,27.504999,28.716999,26.688999,27.767000,26.355330,8659000
2018-05-01,27.624001,29.452000,27.445000,29.252001,27.764837,6133000
2018-06-01,29.347000,30.600000,29.089001,29.466000,27.967955,7302000
2018-07-01,29.289000,31.139000,29.169001,30.132999,28.668709,7544000
2018-08-01,30.240999,31.934000,30.014999,31.863001,30.314642,6614000
2018-09-01,31.900000,31.900000,30.906000,31.559999,30.026360,5071000
2018-10-01,31.719999,31.766001,27.187000,28.641001,27.315065,16378000
2018-11-01,28.784000,29.719000,26.780001,28.771999,27.440002,11332000
2018-12-01,29.427999,29.580000,24.301001,25.996000,24.792517,15955000
2019-01-01,25.768000,28.600000,25.318001,28.549999,27.322115,10924000
2019-02-01,28.448999,29.846001,28.295000,29.542000,28.271452,7546000
2019-03-01,29.796000,30.778000,28.719999,30.267000,28.965269,9197000
2019-04-01,30.566000,32.084000,30.452999,31.819000,30.516689,7177000
2019-05-01,31.983000,32.067001,29.275999,29.291000,28.092155,11967000
2019-06-01,29.315001,31.865999,28.677000,31.466999,30.179092,7977000
2019-07-01,31.999001,32.759998,31.607000,32.166000,30.947130,6583000
2019-08-01,32.112999,32.669998,30.108000,31.334999,30.147619,10902000
2019-09-01,31.108000,32.469002,30.884001,31.400999,30.211119,5851000
2019-10-01,31.579000,32.796001,30.246000,32.581001,31.438192,7461000
2019-11-01,32.799000,34.363998,32.754002,34.089001,32.893284,5518000
2019-12-01,34.196999,35.436001,33.161999,34.955002,33.728920,6735000
2020-01-01,35.226002,37.200001,34.848999,35.578999,34.729958,10536000
2020-02-01,35.713001,38.384998,31.784000,33.400002,32.602962,14747000
2020-03-01,33.680000,35.465000,25.738001,29.858999,29.146461,30414000
2020-04-01,28.826000,34.889000,28.326000,34.597000,33.881378,14584000
2020-05-01,33.716999,37.105999,33.200001,36.948002,36.183743,11573000
2020-06-01,36.826000,39.748001,36.469002,39.117001,38.307873,12974000
2020-07-01,39.196999,42.432999,39.117001,41.713001,40.927197,11934000
2020-08-01,42.094002,46.220001,42.000000,45.977001,45.110874,8971000
2020-09-01,46.233002,47.224998,40.806000,43.400002,42.582424,13110000
2020-10-01,43.900002,46.549999,42.108002,42.410000,41.700329,7353000
2020-11-01,42.841000,48.404999,42.111000,47.396000,46.602898,8098000
2020-12-01,47.896000,50.433998,47.506001,50.165001,49.325558,6975000
2021-01-01,50.382999,53.382999,48.706001,50.599998,49.857933,9807000
2021-02-01,51.110001,54.900002,50.473000,51.210999,50.459972,7944000
2021-03-01,52.103001,52.896999,48.106998,51.355000,50.601860,11507000
2021-04-01,51.999001,55.310001,51.974998,54.349998,53.618198,6855400
2021-05-01,54.610001,54.610001,50.500000,53.500000,52.779640,5704700
2021-06-01,53.799999,56.549999,52.650002,56.349998,55.591274,5409700
2021-07-01,56.439999,57.720001,55.060001,57.090000,56.393986,5550500
2021-08-01,57.380001,59.439999,56.000000,59.369999,58.646187,4034200
2021-09-01,59.549999,59.889999,56.139999,56.180000,55.495079,5365400
2021-10-01,56.189999,60.259998,55.130001,60.259998,59.613167,4855100
2021-11-01,60.439999,63.110001,60.110001,60.590000,59.939625,5233000
2021-12-01,61.419998,62.000000,57.810001,60.900002,60.246300,6758300
2022-01-01,61.340000,61.849998,51.029999,55.540001,55.045078,11175600
2022-02-01,55.689999,56.619999,49.009998,53.680000,53.201653,8954500
2022-03-01,53.430000,57.160000,49.049999,55.560001,55.064903,9062900
2022-04-01,55.820000,56.700001,48.099998,48.180000,47.813625,7955100
2022-05-01,48.070000,50.720001,43.180000,47.259998,46.900620,12819200
2022-06-01,47.669998,48.189999,41.419998,43.150002,42.821877,8878200
2022-07-01,42.919998,48.630001,42.730000,48.549999,48.284847,5899800
2022-08-01,48.330002,51.619999,46.200001,46.320000,46.067028,8418000
2022-09-01,45.970001,48.160000,41.439999,41.439999,41.213676,10195300
2022-10-01,41.619999,44.029999,39.520000,43.110001,42.969204,6575500
2022-11-01,43.650002,45.169998,40.270000,45.020000,44.872967,5975900
2022-12-01,45.230000,45.480000,40.000000,40.970001,40.836193,10566600
2023-01-01,41.320000,45.830002,40.240002,45.380001,45.380001,6865700
2023-02-01,45.419998,48.090000,44.840000,45.419998,45.419998,5019900
2023-02-23,45.590000,45.639999,44.851299,45.419998,45.419998,161719
